date,kWh,chargeIncludingGst
2023-06-19T00:00:00,14.76,5.186279981999999
2023-06-20T00:00:00,16.65,5.806199971
2023-06-21T00:00:00,13.69,4.8353199805
2023-06-22T00:00:00,22,7.560999967
2023-06-23T00:00:00,17.02,5.927559977
2023-06-24T00:00:00,12.96,4.5958799755
2023-06-25T00:00:00,13.9,4.904199977999999
2023-06-26T00:00:00,22.37,7.6823599615
2023-06-27T00:00:00,15.75,5.5109999735
2023-06-28T00:00:00,20.24,6.9837199655
2023-06-29T00:00:00,14.48,5.0944399815
2023-06-30T00:00:00,19.1,6.609799972499999
2023-07-01T00:00:00,5.99,2.3097199955
2023-07-02T00:00:00,23.43,8.0300399675
2023-07-03T00:00:00,26.41,9.007479960500001
2023-07-04T00:00:00,20.89,7.196919972
2023-07-05T00:00:00,19.41,6.711479971
2023-07-06T00:00:00,28.72,9.765159956
2023-07-07T00:00:00,22.26,7.646279965
2023-07-08T00:00:00,20.73,7.1444399635
2023-07-09T00:00:00,27.76,9.4502799625
2023-07-10T00:00:00,19.58,6.767239975
2023-07-11T00:00:00,20.65,7.118199965
2023-07-12T00:00:00,13.28,4.700839981
2023-07-13T00:00:00,13.67,4.828759978
2023-07-14T00:00:00,13,4.6089999805
2023-07-15T00:00:00,9.35,3.4117999899999996
2023-07-16T00:00:00,13.17,4.6647599845
2023-07-17T00:00:00,17.38,6.0456399759999995
2023-07-18T00:00:00,11.47,4.107159979
